semester_raw,midterm,problem_name,item_family,score_source,key_confidence,n_events
F24,mid1,fileWriteCA,clickable,clickable_no_response,,1
F24,mid2,fileWriteCA,clickable,clickable_no_response,,2
F24,mid1,var-expressions-mc-click,clickable,clickable_no_response,,1
F24,mid1,var-keywords-ca-error,clickable,clickable_no_response,,1
F24,mid2,xml_book_end_tags_clicka,clickable,clickable_no_response,,1
F24,mid2,xml_food_tag_text_clicka,clickable,clickable_no_response,,1
F24,mid2,xml_person_attributes_clicka,clickable,clickable_no_response,,1
F24,mid2,xml_person_self_closing_tags_clicka,clickable,clickable_no_response,,1
F25,mid2,fileWriteCA,clickable,clickable_no_response,,1
F25,mid1,fileWriteCA,clickable,clickable_no_response,,1
F25,mid2,fileWriteCA,clickable,clickable_no_response,,2
F25,mid1,fileWriteCA,clickable,clickable_no_response,,1
F25,mid1,fileWriteCA,clickable,clickable_no_response,,1
F25,mid2,fileWriteCA,clickable,clickable_no_response,,2
F25,mid1,fileWriteCA,clickable,clickable_no_response,,1
F25,mid2,html_a_tag_attribute_names,clickable,clickable_no_response,,1
F25,mid2,html_a_tag_attribute_names,clickable,clickable_no_response,,2
F25,mid2,html_end_tags_clicka,clickable,clickable_no_response,,1
F25,mid2,html_start_tags_clicka,clickable,clickable_no_response,,1
F25,mid1,var-expressions-mc-click,clickable,clickable_no_response,,3
F25,mid1,var-expressions-mc-click,clickable,clickable_no_response,,1
F25,mid1,var-keywords-ca-error,clickable,clickable_no_response,,2
F25,mid1,var-variables-ca-string,clickable,clickable_no_response,,1
F25,mid1,var-variables-ca-string,clickable,clickable_no_response,,3
F25,mid2,var-variables-ca-string,clickable,clickable_no_response,,2
F23,mid1,csv_file_dnd_string_and_conversion_functions_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F23,mid2,html_basic_tag_def_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F23,mid2,html_list_tag_def_dnd,dragndrop,dragndrop_low_confidence_key,0.6,1
F23,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F23,mid1,question10_2_2,dragndrop,dragndrop_low_confidence_key,0.5,1
F23,mid2,regex_match_adv_symbols,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,class_diagram_parts_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,class_diagram_parts_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid2,class_diagram_parts_dnd,dragndrop,dragndrop_low_confidence_key,0.5,2
F24,mid1,cond-dnd-glossary3,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,cond-dnd-glossary3,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,funct_dict_symbol_dnd,dragndrop,dragndrop_low_confidence_key,0.5714285714285714,1
F24,mid1,funct_dict_symbol_dnd,dragndrop,dragndrop_low_confidence_key,0.5714285714285714,1
F24,mid1,funct_dict_symbol_dnd,dragndrop,dragndrop_low_confidence_key,0.5714285714285714,1
F24,mid2,funct_dict_symbol_dnd,dragndrop,dragndrop_low_confidence_key,0.5714285714285714,1
F24,mid2,html_basic_tag_def_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid2,html_list_tag_def_dnd,dragndrop,dragndrop_low_confidence_key,0.6,1
F24,mid2,html_other_tags_def_dnd,dragndrop,dragndrop_low_confidence_key,0.625,1
F24,mid2,html_other_tags_def_dnd,dragndrop,dragndrop_low_confidence_key,0.625,2
F24,mid2,html_span_div_css,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid2,html_span_div_css,dragndrop,dragndrop_low_confidence_key,0.5,2
F24,mid2,html_table_tag_def_dnd,dragndrop,dragndrop_low_confidence_key,0.625,2
F24,mid1,inhert_vocab_dnd,dragndrop,dragndrop_low_confidence_key,0.4444444444444444,1
F24,mid1,inhert_vocab_dnd,dragndrop,dragndrop_low_confidence_key,0.4444444444444444,1
F24,mid1,inhert_vocab_dnd,dragndrop,dragndrop_low_confidence_key,0.4444444444444444,1
F24,mid1,inhert_vocab_dnd,dragndrop,dragndrop_low_confidence_key,0.4444444444444444,1
F24,mid2,inhert_vocab_dnd,dragndrop,dragndrop_low_confidence_key,0.4444444444444444,1
F24,mid1,iteration_glossary_one,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,2
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid2,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,1
F24,mid1,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,3
F24,mid2,pillars_of_oop_dnd,dragndrop,dragndrop_low_confidence_key,0.5,2
