semester_raw,problem_name,total_rows,total_students,exam_rows,exam_students,midterm_n,midterm,exam_ratio,student_ratio,looks_midtermish,obvious_false_positive
F21,BS-Example1,1542,98,5.0,1.0,1.0,mid2,0.00324254215304799,0.01020408163265306,True,True
F21,BS-Example2,896,100,2.0,1.0,1.0,mid2,0.002232142857142857,0.01,True,True
F21,Dict-Tuple-Practice,1400,102,5.0,1.0,1.0,mid1,0.0035714285714285713,0.00980392156862745,False,False
F21,Diss-1-A,2772,100,5.0,1.0,1.0,mid1,0.0018037518037518038,0.01,False,False
F21,Diss-1-B,1386,100,6.0,1.0,1.0,mid1,0.004329004329004329,0.01,False,False
F21,Fall21-SI206_scratch_ac,33537,77,4509.0,22.0,2.0,mid1,0.13444851954557652,0.2857142857142857,False,False
F21,FuncWithTuplesAndDict,955,101,5.0,1.0,1.0,mid1,0.005235602094240838,0.009900990099009901,False,False
F21,HTML practice,707,99,11.0,3.0,1.0,mid2,0.015558698727015558,0.030303030303030304,False,False
F21,Mid2-Fall21-2Time,17,3,6.0,3.0,1.0,mid2,0.35294117647058826,1.0,True,False
F21,Mid2-Fall21-Practice,4265,98,117.0,24.0,1.0,mid2,0.02743259085580305,0.24489795918367346,True,False
F21,Mid2-Fall21-Timed,822,92,191.0,92.0,1.0,mid2,0.23236009732360097,1.0,True,False
F21,Mid2-Practice-Timed,1125,72,9.0,2.0,1.0,mid2,0.008,0.027777777777777776,True,False
F21,Midterm1-Fall21-2Time,18,3,6.0,3.0,1.0,mid1,0.3333333333333333,1.0,True,False
F21,Midterm1-Fall21-Q26andQ30,21,10,10.0,3.0,1.0,mid1,0.47619047619047616,0.3,True,False
F21,Midterm1-Fall21-Timed,955,99,197.0,92.0,1.0,mid1,0.20628272251308902,0.9292929292929293,True,False
F21,Midterm1-Practice-Fall21,3724,102,90.0,17.0,1.0,mid1,0.024167561761546726,0.16666666666666666,True,False
F21,Midterm1-Practice-Fall21-Timed,611,91,7.0,3.0,1.0,mid1,0.011456628477905073,0.03296703296703297,True,False
F21,Soup-Practice,1033,101,2.0,1.0,1.0,mid2,0.001936108422071636,0.009900990099009901,False,False
F21,Unit-Test-Practice,2392,100,5.0,1.0,1.0,mid1,0.0020903010033444815,0.01,False,False
F21,acid=Function_String_MixedUpCode_1_v2,86,21,5.0,1.0,1.0,mid1,0.05813953488372093,0.047619047619047616,False,False
F21,acid=Function_String_MixedUpCode_1_v2_ac,87,21,5.0,1.0,1.0,mid1,0.05747126436781609,0.047619047619047616,False,False
F21,acid=Function_String_MixedUpCode_2_v2,86,21,5.0,1.0,1.0,mid1,0.05813953488372093,0.047619047619047616,False,False
F21,acid=Function_String_MixedUpCode_2_v2_ac,86,21,5.0,1.0,1.0,mid1,0.05813953488372093,0.047619047619047616,False,False
F21,acid=Function_String_MixedUpCode_3,83,19,5.0,1.0,1.0,mid1,0.060240963855421686,0.05263157894736842,False,False
F21,acid=Function_String_MixedUpCode_3_ac,3426,104,16.0,3.0,1.0,mid1,0.004670169293636894,0.028846153846153848,False,False
F21,acid=Function_String_MixedUpCode_3_ordered,3344,104,11.0,2.0,1.0,mid1,0.003289473684210526,0.019230769230769232,False,False
F21,acid=Function_String_MixedUpCode_4,82,18,5.0,1.0,1.0,mid1,0.06097560975609756,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_4_ac,82,18,5.0,1.0,1.0,mid1,0.06097560975609756,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_5,82,18,5.0,1.0,1.0,mid1,0.06097560975609756,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_5_ac,82,18,5.0,1.0,1.0,mid1,0.06097560975609756,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_6,80,18,5.0,1.0,1.0,mid1,0.0625,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_6_ac,80,18,5.0,1.0,1.0,mid1,0.0625,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_7,79,18,5.0,1.0,1.0,mid1,0.06329113924050633,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_7_ac,79,18,5.0,1.0,1.0,mid1,0.06329113924050633,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_8,77,18,5.0,1.0,1.0,mid1,0.06493506493506493,0.05555555555555555,False,False
F21,acid=Function_String_MixedUpCode_8_ac,77,18,5.0,1.0,1.0,mid1,0.06493506493506493,0.05555555555555555,False,False
F21,acid=bsoup_writecode10q,22,6,5.0,1.0,1.0,mid2,0.22727272727272727,0.16666666666666666,False,False
F21,acid=bsoup_writecode10q_mu,22,5,5.0,1.0,1.0,mid2,0.22727272727272727,0.2,False,False
